size;powertrain;component;dataset name;dataset location;dataset unit;dataset reference product;multiplication factor
Kick-scooter;BEV;glider;electric bicycle production, without battery and motor;RER;unit;electric bicycle, without battery and motor;0.041666667
Bicycle <25;BEV;glider;electric bicycle production, without battery and motor;RER;unit;electric bicycle, without battery and motor;0.041666667
Bicycle <45;BEV;glider;electric bicycle production, without battery and motor;RER;unit;electric bicycle, without battery and motor;0.041666667
Bicycle cargo;BEV;glider;electric bicycle production, without battery and motor;RER;unit;electric bicycle, without battery and motor;0.041666667
Scooter <4kW;BEV;glider;market for glider, for electric scooter;GLO;kilogram;glider, for electric scooter;1
Scooter 4-11kW;BEV;glider;market for glider, for electric scooter;GLO;kilogram;glider, for electric scooter;1
Motorcycle 4-11kW;BEV;glider;market for glider, for electric scooter;GLO;kilogram;glider, for electric scooter;1
Motorcycle 11-35kW;BEV;glider;market for glider, for electric scooter;GLO;kilogram;glider, for electric scooter;1
Motorcycle >35kW;BEV;glider;market for glider, for electric scooter;GLO;kilogram;glider, for electric scooter;1
Scooter <4kW;ICEV-p;glider;motor scooter production;RER;unit;motor scooter, 50 cubic cm engine;0.011111111
Scooter 4-11kW;ICEV-p;glider;motor scooter production;RER;unit;motor scooter, 50 cubic cm engine;0.011111111
Moped <4kW;ICEV-p;glider;motor scooter production;RER;unit;motor scooter, 50 cubic cm engine;0.011111111
Motorcycle 4-11kW;ICEV-p;glider;motor scooter production;RER;unit;motor scooter, 50 cubic cm engine;0.011111111
Motorcycle 11-35kW;ICEV-p;glider;motor scooter production;RER;unit;motor scooter, 50 cubic cm engine;0.011111111
Motorcycle >35kW;ICEV-p;glider;motor scooter production;RER;unit;motor scooter, 50 cubic cm engine;0.011111111
Bicycle <25;Human;glider;bicycle production;RER;unit;bicycle;0.058823529
Kick-scooter;BEV;maintenance;maintenance, electric bicycle, without battery;CH;unit;maintenance, electric bicycle, without battery;15000
Bicycle <25;BEV;maintenance;maintenance, electric bicycle, without battery;CH;unit;maintenance, electric bicycle, without battery;15000
Bicycle <45;BEV;maintenance;maintenance, electric bicycle, without battery;CH;unit;maintenance, electric bicycle, without battery;15000
Bicycle cargo;BEV;maintenance;maintenance, electric bicycle, without battery;CH;unit;maintenance, electric bicycle, without battery;15000
Scooter <4kW;BEV;maintenance;market for maintenance, electric scooter, without battery;GLO;unit;maintenance, electric scooter, without battery;25000
Scooter 4-11kW;BEV;maintenance;market for maintenance, electric scooter, without battery;GLO;unit;maintenance, electric scooter, without battery;25000
Motorcycle 4-11kW;BEV;maintenance;market for maintenance, electric scooter, without battery;GLO;unit;maintenance, electric scooter, without battery;25000
Motorcycle 11-35kW;BEV;maintenance;market for maintenance, electric scooter, without battery;GLO;unit;maintenance, electric scooter, without battery;25000
Motorcycle >35kW;BEV;maintenance;market for maintenance, electric scooter, without battery;GLO;unit;maintenance, electric scooter, without battery;25000
Scooter <4kW;ICEV-p;maintenance;maintenance, motor scooter;CH;unit;maintenance, motor scooter;25000
Scooter 4-11kW;ICEV-p;maintenance;maintenance, motor scooter;CH;unit;maintenance, motor scooter;25000
Moped <4kW;ICEV-p;maintenance;maintenance, motor scooter;CH;unit;maintenance, motor scooter;25000
Motorcycle 4-11kW;ICEV-p;maintenance;maintenance, motor scooter;CH;unit;maintenance, motor scooter;25000
Motorcycle 11-35kW;ICEV-p;maintenance;maintenance, motor scooter;CH;unit;maintenance, motor scooter;25000
Motorcycle >35kW;ICEV-p;maintenance;maintenance, motor scooter;CH;unit;maintenance, motor scooter;25000
Bicycle <25;Human;maintenance;maintenance, bicycle;CH;unit;maintenance, bicycle;15000
Kick-scooter;BEV;mechanical powertrain;electric bicycle production, without battery and motor;RER;unit;electric bicycle production, without battery and motor;0.041666667
Bicycle <25;BEV;mechanical powertrain;electric bicycle production, without battery and motor;RER;unit;electric bicycle production, without battery and motor;0.041666667
Bicycle <45;BEV;mechanical powertrain;electric bicycle production, without battery and motor;RER;unit;electric bicycle production, without battery and motor;0.041666667
Bicycle cargo;BEV;mechanical powertrain;electric bicycle production, without battery and motor;RER;unit;electric bicycle production, without battery and motor;0.041666667
Scooter <4kW;BEV;mechanical powertrain;market for glider, for electric scooter;GLO;kilogram;glider, for electric scooter;1
Scooter 4-11kW;BEV;mechanical powertrain;market for glider, for electric scooter;GLO;kilogram;glider, for electric scooter;1
Motorcycle 4-11kW;BEV;mechanical powertrain;market for glider, for electric scooter;GLO;kilogram;glider, for electric scooter;1
Motorcycle 11-35kW;BEV;mechanical powertrain;market for glider, for electric scooter;GLO;kilogram;glider, for electric scooter;1
Motorcycle >35kW;BEV;mechanical powertrain;market for glider, for electric scooter;GLO;kilogram;glider, for electric scooter;1
Scooter <4kW;ICEV-p;mechanical powertrain;motor scooter production;RER;unit;motor scooter, 50 cubic cm engine;0.011111111
Scooter 4-11kW;ICEV-p;mechanical powertrain;motor scooter production;RER;unit;motor scooter, 50 cubic cm engine;0.011111111
Moped <4kW;ICEV-p;mechanical powertrain;motor scooter production;RER;unit;motor scooter, 50 cubic cm engine;0.011111111
Motorcycle 4-11kW;ICEV-p;mechanical powertrain;motor scooter production;RER;unit;motor scooter, 50 cubic cm engine;0.011111111
Motorcycle 11-35kW;ICEV-p;mechanical powertrain;motor scooter production;RER;unit;motor scooter, 50 cubic cm engine;0.011111111
Motorcycle >35kW;ICEV-p;mechanical powertrain;motor scooter production;RER;unit;motor scooter, 50 cubic cm engine;0.011111111
Bicycle <25;Human;mechanical powertrain;bicycle production;RER;unit;bicycle;0.058823529
Kick-scooter;BEV;electric powertrain;market for electric motor, vehicle;GLO;kilogram;electric motor, vehicle;1
Bicycle <25;BEV;electric powertrain;market for electric motor, vehicle;GLO;kilogram;electric motor, vehicle;1
Bicycle <45;BEV;electric powertrain;market for electric motor, vehicle;GLO;kilogram;electric motor, vehicle;1
Bicycle cargo;BEV;electric powertrain;market for electric motor, vehicle;GLO;kilogram;electric motor, vehicle;1
Scooter <4kW;BEV;electric powertrain;market for electric powertrain, for electric scooter;GLO;kilogram;powertrain, for electric scooter;1
Scooter 4-11kW;BEV;electric powertrain;market for electric powertrain, for electric scooter;GLO;kilogram;powertrain, for electric scooter;1
Motorcycle 4-11kW;BEV;electric powertrain;market for electric powertrain, for electric scooter;GLO;kilogram;powertrain, for electric scooter;1
Motorcycle 11-35kW;BEV;electric powertrain;market for electric powertrain, for electric scooter;GLO;kilogram;powertrain, for electric scooter;1
Motorcycle >35kW;BEV;electric powertrain;market for electric powertrain, for electric scooter;GLO;kilogram;powertrain, for electric scooter;1
Scooter <4kW;ICEV-p;electric powertrain;market for electric powertrain, for electric scooter;GLO;kilogram;powertrain, for electric scooter;1
Scooter 4-11kW;ICEV-p;electric powertrain;market for electric powertrain, for electric scooter;GLO;kilogram;powertrain, for electric scooter;1
Moped <4kW;ICEV-p;electric powertrain;market for electric powertrain, for electric scooter;GLO;kilogram;powertrain, for electric scooter;1
Motorcycle 4-11kW;ICEV-p;electric powertrain;market for electric powertrain, for electric scooter;GLO;kilogram;powertrain, for electric scooter;1
Motorcycle 11-35kW;ICEV-p;electric powertrain;market for electric powertrain, for electric scooter;GLO;kilogram;powertrain, for electric scooter;1
Motorcycle >35kW;ICEV-p;electric powertrain;market for electric powertrain, for electric scooter;GLO;kilogram;powertrain, for electric scooter;1
Bicycle <25;Human;electric powertrain;market for electric motor, vehicle;GLO;kilogram;electric motor, vehicle;1
Kick-scooter;BEV;charging station;charging station, 100W;GLO;unit;charging station, 100W;1
Bicycle <25;BEV;charging station;charging station, 500W;GLO;unit;charging station, 500W;1
Bicycle <45;BEV;charging station;charging station, 500W;GLO;unit;charging station, 500W;1
Bicycle cargo;BEV;charging station;charging station, 500W;GLO;unit;charging station, 500W;1
Scooter <4kW;BEV;charging station;charging station, 3kW;GLO;unit;charging station, 3kW;1
Scooter 4-11kW;BEV;charging station;charging station, 3kW;GLO;unit;charging station, 3kW;1
Motorcycle 4-11kW;BEV;charging station;charging station, 3kW;GLO;unit;charging station, 3kW;1
Motorcycle 11-35kW;BEV;charging station;charging station, 3kW;GLO;unit;charging station, 3kW;1
Motorcycle >35kW;BEV;charging station;charging station, 3kW;GLO;unit;charging station, 3kW;1
Bicycle <25;Human;charging station;charging station, 100W;GLO;unit;charging station, 100W;1
Kick-scooter;BEV;glider disposal;treatment of used electric bicycle;CH;unit;used electric bicycle;0.041666667
Bicycle <25;BEV;glider disposal;treatment of used electric bicycle;CH;unit;used electric bicycle;0.041666667
Bicycle <45;BEV;glider disposal;treatment of used electric bicycle;CH;unit;used electric bicycle;0.041666667
Bicycle cargo;BEV;glider disposal;treatment of used electric bicycle;CH;unit;used electric bicycle;0.041666667
Scooter <4kW;BEV;glider disposal;manual dismantling of used electric scooter;GLO;unit;manual dismantling of electric scooter;1
Scooter 4-11kW;BEV;glider disposal;manual dismantling of used electric scooter;GLO;unit;manual dismantling of electric scooter;1
Motorcycle 4-11kW;BEV;glider disposal;manual dismantling of used electric scooter;GLO;unit;manual dismantling of electric scooter;1
Motorcycle 11-35kW;BEV;glider disposal;manual dismantling of used electric scooter;GLO;unit;manual dismantling of electric scooter;1
Motorcycle >35kW;BEV;glider disposal;manual dismantling of used electric scooter;GLO;unit;manual dismantling of electric scooter;1
Bicycle <25;Human;glider disposal;treatment of used bicycle;CH;unit;used bicycle;0.058823529
Kick-scooter;BEV;powertrain disposal;treatment of used electric bicycle;CH;unit;used electric bicycle;0.041666667
Bicycle <25;BEV;powertrain disposal;treatment of used electric bicycle;CH;unit;used electric bicycle;0.041666667
Bicycle <45;BEV;powertrain disposal;treatment of used electric bicycle;CH;unit;used electric bicycle;0.041666667
Bicycle cargo;BEV;powertrain disposal;treatment of used electric bicycle;CH;unit;used electric bicycle;0.041666667
Scooter <4kW;BEV;powertrain disposal;manual dismantling of used electric scooter;GLO;unit;manual dismantling of electric scooter;1
Scooter 4-11kW;BEV;powertrain disposal;manual dismantling of used electric scooter;GLO;unit;manual dismantling of electric scooter;1
Motorcycle 4-11kW;BEV;powertrain disposal;manual dismantling of used electric scooter;GLO;unit;manual dismantling of electric scooter;1
Motorcycle 11-35kW;BEV;powertrain disposal;manual dismantling of used electric scooter;GLO;unit;manual dismantling of electric scooter;1
Motorcycle >35kW;BEV;powertrain disposal;manual dismantling of used electric scooter;GLO;unit;manual dismantling of electric scooter;1
Bicycle <25;Human;powertrain disposal;treatment of used bicycle;CH;unit;used bicycle;0.058823529
